setBits:14  tagBits:53e S 14fa90,4 hit 
setBits:14  tagBits:53e S 14fa94,4 hit 
setBits:14  tagBits:53e S 14fa98,4 hit 
setBits:14  tagBits:53e S 14fa9c,4 hit 
setBits:14  tagBits:53f S 14fe80,4 miss  eviction 
setBits:14  tagBits:53f S 14fe84,4 hit 
setBits:14  tagBits:53f S 14fe88,4 hit 
setBits:14  tagBits:53f S 14fe8c,4 hit 
setBits:5  tagBits:43d L 10f4ac,4 hit 
setBits:d  tagBits:43d L 10f5ac,4 hit 
setBits:15  tagBits:43d L 10f6ac,4 hit 
setBits:1d  tagBits:43d L 10f7ac,4 hit 
setBits:1c  tagBits:53e L 14fb90,4 hit 
setBits:1c  tagBits:53e L 14fb94,4 hit 
setBits:1c  tagBits:53e L 14fb98,4 hit 
setBits:1c  tagBits:53e L 14fb9c,4 hit 
setBits:1c  tagBits:53e S 14fb90,4 hit 
setBits:1c  tagBits:53e S 14fb94,4 hit 
setBits:1c  tagBits:53e S 14fb98,4 hit 
setBits:1c  tagBits:53e S 14fb9c,4 hit 
setBits:1c  tagBits:53f S 14ff80,4 miss  eviction 
setBits:1c  tagBits:53f S 14ff84,4 hit 
setBits:1c  tagBits:53f S 14ff88,4 hit 
setBits:1c  tagBits:53f S 14ff8c,4 hit 
setBits:5  tagBits:43d L 10f4b0,4 hit 
setBits:5  tagBits:43d L 10f4b4,4 hit 
setBits:5  tagBits:43d L 10f4b8,4 hit 
setBits:5  tagBits:43d L 10f4bc,4 hit 
setBits:4  tagBits:53f S 14fc90,4 hit 
setBits:c  tagBits:53f S 14fd90,4 hit 
setBits:14  tagBits:53f S 14fe90,4 hit 
setBits:1c  tagBits:53f S 14ff90,4 hit 
setBits:d  tagBits:43d L 10f5b0,4 hit 
setBits:d  tagBits:43d L 10f5b4,4 hit 
setBits:d  tagBits:43d L 10f5b8,4 hit 
setBits:d  tagBits:43d L 10f5bc,4 hit 
setBits:4  tagBits:53f S 14fc94,4 hit 
setBits:c  tagBits:53f S 14fd94,4 hit 
setBits:14  tagBits:53f S 14fe94,4 hit 
setBits:1c  tagBits:53f S 14ff94,4 hit 
setBits:15  tagBits:43d L 10f6b0,4 hit 
setBits:15  tagBits:43d L 10f6b4,4 hit 
setBits:15  tagBits:43d L 10f6b8,4 hit 
setBits:15  tagBits:43d L 10f6bc,4 hit 
setBits:4  tagBits:53f S 14fc98,4 hit 
setBits:c  tagBits:53f S 14fd98,4 hit 
setBits:14  tagBits:53f S 14fe98,4 hit 
setBits:1c  tagBits:53f S 14ff98,4 hit 
setBits:1d  tagBits:43d L 10f7b0,4 hit 
setBits:1d  tagBits:43d L 10f7b4,4 hit 
setBits:1d  tagBits:43d L 10f7b8,4 hit 
setBits:1d  tagBits:43d L 10f7bc,4 hit 
setBits:4  tagBits:53f S 14fc9c,4 hit 
setBits:c  tagBits:53f S 14fd9c,4 hit 
setBits:14  tagBits:53f S 14fe9c,4 hit 
setBits:1c  tagBits:53f S 14ff9c,4 hit 
setBits:6  tagBits:43c L 10f0c0,4 miss 
setBits:6  tagBits:43c L 10f0c4,4 hit 
setBits:6  tagBits:43c L 10f0c8,4 hit 
setBits:6  tagBits:43c L 10f0cc,4 hit 
setBits:6  tagBits:43c L 10f0d0,4 hit 
setBits:6  tagBits:43c L 10f0d4,4 hit 
setBits:6  tagBits:43c L 10f0d8,4 hit 
setBits:6  tagBits:43c L 10f0dc,4 hit 
setBits:4  tagBits:540 S 150080,4 miss  eviction 
setBits:c  tagBits:540 S 150180,4 miss  eviction 
setBits:14  tagBits:540 S 150280,4 miss  eviction 
setBits:1c  tagBits:540 S 150380,4 miss  eviction 
setBits:4  tagBits:540 S 150090,4 hit 
setBits:c  tagBits:540 S 150190,4 hit 
setBits:14  tagBits:540 S 150290,4 hit 
setBits:1c  tagBits:540 S 150390,4 hit 
setBits:e  tagBits:43c L 10f1c0,4 miss 
setBits:e  tagBits:43c L 10f1c4,4 hit 
setBits:e  tagBits:43c L 10f1c8,4 hit 
setBits:e  tagBits:43c L 10f1cc,4 hit 
setBits:e  tagBits:43c L 10f1d0,4 hit 
setBits:e  tagBits:43c L 10f1d4,4 hit 
setBits:e  tagBits:43c L 10f1d8,4 hit 
setBits:e  tagBits:43c L 10f1dc,4 hit 
setBits:4  tagBits:540 S 150084,4 hit 
setBits:c  tagBits:540 S 150184,4 hit 
setBits:14  tagBits:540 S 150284,4 hit 
setBits:1c  tagBits:540 S 150384,4 hit 
setBits:4  tagBits:540 S 150094,4 hit 
setBits:c  tagBits:540 S 150194,4 hit 
setBits:14  tagBits:540 S 150294,4 hit 
setBits:1c  tagBits:540 S 150394,4 hit 
setBits:16  tagBits:43c L 10f2c0,4 miss 
setBits:16  tagBits:43c L 10f2c4,4 hit 
setBits:16  tagBits:43c L 10f2c8,4 hit 
setBits:16  tagBits:43c L 10f2cc,4 hit 
setBits:16  tagBits:43c L 10f2d0,4 hit 
setBits:16  tagBits:43c L 10f2d4,4 hit 
setBits:16  tagBits:43c L 10f2d8,4 hit 
setBits:16  tagBits:43c L 10f2dc,4 hit 
setBits:4  tagBits:540 S 150088,4 hit 
setBits:c  tagBits:540 S 150188,4 hit 
setBits:14  tagBits:540 S 150288,4 hit 
setBits:1c  tagBits:540 S 150388,4 hit 
setBits:4  tagBits:540 S 150098,4 hit 
setBits:c  tagBits:540 S 150198,4 hit 
setBits:14  tagBits:540 S 150298,4 hit 
setBits:1c  tagBits:540 S 150398,4 hit 
setBits:1e  tagBits:43c L 10f3c0,4 miss 
setBits:1e  tagBits:43c L 10f3c4,4 hit 
setBits:1e  tagBits:43c L 10f3c8,4 hit 
setBits:1e  tagBits:43c L 10f3cc,4 hit 
setBits:1e  tagBits:43c L 10f3d0,4 hit 
setBits:1e  tagBits:43c L 10f3d4,4 hit 
setBits:1e  tagBits:43c L 10f3d8,4 hit 
setBits:1e  tagBits:43c L 10f3dc,4 hit 
setBits:4  tagBits:540 S 15008c,4 hit 
setBits:c  tagBits:540 S 15018c,4 hit 
setBits:14  tagBits:540 S 15028c,4 hit 
setBits:1c  tagBits:540 S 15038c,4 hit 
setBits:4  tagBits:540 S 15009c,4 hit 
setBits:c  tagBits:540 S 15019c,4 hit 
setBits:14  tagBits:540 S 15029c,4 hit 
setBits:1c  tagBits:540 S 15039c,4 hit 
setBits:6  tagBits:43d L 10f4c0,4 miss  eviction 
setBits:e  tagBits:43d L 10f5c0,4 miss  eviction 
setBits:16  tagBits:43d L 10f6c0,4 miss  eviction 
setBits:1e  tagBits:43d L 10f7c0,4 miss  eviction 
setBits:4  tagBits:540 L 150090,4 hit 
setBits:4  tagBits:540 L 150094,4 hit 
setBits:4  tagBits:540 L 150098,4 hit 
setBits:4  tagBits:540 L 15009c,4 hit 
setBits:4  tagBits:540 S 150090,4 hit 
setBits:4  tagBits:540 S 150094,4 hit 
setBits:4  tagBits:540 S 150098,4 hit 
setBits:4  tagBits:540 S 15009c,4 hit 
setBits:4  tagBits:541 S 150480,4 miss  eviction 
setBits:4  tagBits:541 S 150484,4 hit 
setBits:4  tagBits:541 S 150488,4 hit 
setBits:4  tagBits:541 S 15048c,4 hit 
setBits:6  tagBits:43d L 10f4c4,4 hit 
setBits:e  tagBits:43d L 10f5c4,4 hit 
setBits:16  tagBits:43d L 10f6c4,4 hit 
setBits:1e  tagBits:43d L 10f7c4,4 hit 
setBits:c  tagBits:540 L 150190,4 hit 
setBits:c  tagBits:540 L 150194,4 hit 
setBits:c  tagBits:540 L 150198,4 hit 
setBits:c  tagBits:540 L 15019c,4 hit 
setBits:c  tagBits:540 S 150190,4 hit 
setBits:c  tagBits:540 S 150194,4 hit 
setBits:c  tagBits:540 S 150198,4 hit 
setBits:c  tagBits:540 S 15019c,4 hit 
setBits:c  tagBits:541 S 150580,4 miss  eviction 
setBits:c  tagBits:541 S 150584,4 hit 
setBits:c  tagBits:541 S 150588,4 hit 
setBits:c  tagBits:541 S 15058c,4 hit 
setBits:6  tagBits:43d L 10f4c8,4 hit 
setBits:e  tagBits:43d L 10f5c8,4 hit 
setBits:16  tagBits:43d L 10f6c8,4 hit 
setBits:1e  tagBits:43d L 10f7c8,4 hit 
setBits:14  tagBits:540 L 150290,4 hit 
setBits:14  tagBits:540 L 150294,4 hit 
setBits:14  tagBits:540 L 150298,4 hit 
setBits:14  tagBits:540 L 15029c,4 hit 
setBits:14  tagBits:540 S 150290,4 hit 
setBits:14  tagBits:540 S 150294,4 hit 
setBits:14  tagBits:540 S 150298,4 hit 
setBits:14  tagBits:540 S 15029c,4 hit 
setBits:14  tagBits:541 S 150680,4 miss  eviction 
setBits:14  tagBits:541 S 150684,4 hit 
setBits:14  tagBits:541 S 150688,4 hit 
setBits:14  tagBits:541 S 15068c,4 hit 
setBits:6  tagBits:43d L 10f4cc,4 hit 
setBits:e  tagBits:43d L 10f5cc,4 hit 
setBits:16  tagBits:43d L 10f6cc,4 hit 
setBits:1e  tagBits:43d L 10f7cc,4 hit 
setBits:1c  tagBits:540 L 150390,4 hit 
setBits:1c  tagBits:540 L 150394,4 hit 
setBits:1c  tagBits:540 L 150398,4 hit 
setBits:1c  tagBits:540 L 15039c,4 hit 
setBits:1c  tagBits:540 S 150390,4 hit 
setBits:1c  tagBits:540 S 150394,4 hit 
setBits:1c  tagBits:540 S 150398,4 hit 
setBits:1c  tagBits:540 S 15039c,4 hit 
setBits:1c  tagBits:541 S 150780,4 miss  eviction 
setBits:1c  tagBits:541 S 150784,4 hit 
setBits:1c  tagBits:541 S 150788,4 hit 
setBits:1c  tagBits:541 S 15078c,4 hit 
setBits:6  tagBits:43d L 10f4d0,4 hit 
setBits:6  tagBits:43d L 10f4d4,4 hit 
setBits:6  tagBits:43d L 10f4d8,4 hit 
setBits:6  tagBits:43d L 10f4dc,4 hit 
setBits:4  tagBits:541 S 150490,4 hit 
setBits:c  tagBits:541 S 150590,4 hit 
setBits:14  tagBits:541 S 150690,4 hit 
setBits:1c  tagBits:541 S 150790,4 hit 
setBits:e  tagBits:43d L 10f5d0,4 hit 
setBits:e  tagBits:43d L 10f5d4,4 hit 
setBits:e  tagBits:43d L 10f5d8,4 hit 
setBits:e  tagBits:43d L 10f5dc,4 hit 
setBits:4  tagBits:541 S 150494,4 hit 
setBits:c  tagBits:541 S 150594,4 hit 
setBits:14  tagBits:541 S 150694,4 hit 
